Fiscal year,Total HBCU rev,Federal grants and contracts,State grants and contracts,Local grants and contracts,TOTREV_AVG,TOTCOHORT_AVG,BLACK_AVG,HISPANIC_AVG,BlackAvgPercent,HisAvgPercent
2022,7361063,850766,134236,45273,506832206.3,9670.816794,1042.66285,2080.507634,10.78153864,21.51325661
2021,8286785,847510,117713,41902,520341456,9957.822835,1082.086614,2091.793963,10.8666988,21.00653926
2020,6499915,720426,102603,44614,462005390.8,10212.48556,1112.825459,2114.003937,10.89671513,20.70019021
2019,6220138,678485,103101,43089,448377796.3,10465.81389,1127.078637,2077.077326,10.76914465,19.84630481
2018,6297254,641650,103486,42892,435637257.3,10189.16347,1101.353768,1947.532567,10.80906956,19.11376309
2017,6334331,664374,103878,50355,417134254.2,10194.86957,1110.576726,1878.392583,10.89348637,18.42488098
2016,6215578,662134,102098,42555,391099626.2,10209.9305,1116.630631,1804.016731,10.93671138,17.66923615
2015,6137351,639960,102192,42622,376265712.1,10141.84149,1118.184278,1709.585052,11.02545607,16.85675183
2014,6208475,697637,102571,41680,370483365.2,10050.62661,1125.009044,1609.518088,11.19342193,16.01410688
2013,6217451,747205,108487,47106,348053986.6,10018.19481,1130.063636,1529.367532,11.28011242,15.26589932
2012,6598306,786928,115618,44306,336216129,10088.17932,1150.396597,1461.405759,11.40341146,14.48631822
2011,7017304,840993,148868,47564,341772037.4,10113.84646,1179.345144,1380.164042,11.66069852,13.64628233
2010,6700595,850243,128685,53043,321310552.5,9979.06168,1141.547244,1274.414698,11.43942467,12.77088707
2009,6265885,751409,142811,37597,287447272.1,9700.53211,850.4359756,655.027439,8.766900269,6.752489777
2008,6657796,786149,190472,38613,289407497.8,9320.473062,539.3095238,457.8452381,5.786289175,4.91225322
2007,6666692,1140993,155106,60624,280506682.2,9061.9,1003.098684,985.7552632,11.06940801,10.87801966
2006,6197326,1150856,181058,64267,256557499.1,8882.771353,977.3206307,935.9277267,11.00242922,10.53643834
2005,6267503,1274749,130224,69408,243648633.4,8805.664032,969.6284585,897.2990777,11.01141782,10.19002172
2004,5899481,1299836,153823,60711,229276623.1,8711.570487,955.4664032,860.6758893,10.96778594,9.879686913
