UnitID,Institution Name,Total all revenues and other additions (F2122_F1A),Grand total (EF2022  All students  Undergraduate total),HBCUrevstudent
100654,Alabama A & M University,213968238,5206,41100.31464
100724,Alabama State University,173916291,3296,52765.86499
138716,Albany State University,149600129,5812,25739.87078
175342,Alcorn State University,102867766,2431,42315.00041
237215,Bluefield State University,27542400,1286,21417.10731
162007,Bowie State University,183503008,5378,34121.0502
201690,Central State University,99541421,5406,18413.13744
211608,Cheyney University of Pennsylvania,39167499,697,56194.40316
162283,Coppin State University,109288046,1757,62201.50598
130934,Delaware State University,228038505,4996,45644.21637
198507,Elizabeth City State University,90622670,2033,44575.83374
198543,Fayetteville State University,161188779,5748,28042.58507
133650,Florida Agricultural and Mechanical University,368030265,7709,47740.33792
139719,Fort Valley State University,104841747,2360,44424.46907
159009,Grambling State University,127935165,4201,30453.50274
177551,Harris-Stowe State University,51141604,1084,47178.60148
175856,Jackson State University,212899587,4927,43210.79501
157058,Kentucky State University,87877073,1610,54582.03292
207209,Langston University,69892105,1774,39398.02988
213598,Lincoln University,,1712,0
177940,Lincoln University,73239926,1730,42335.21734
176044,Mississippi Valley State University,63597780,1654,38450.8948
163453,Morgan State University,321484518,7609,42250.56091
232937,Norfolk State University,225612083,5337,42273.20274
199102,North Carolina A & T State University,448856087,11833,37932.56883
199157,North Carolina Central University,296282063,5634,52588.22559
227526,Prairie View A & M University,318816794,8103,39345.52561
140960,Savannah State University,101298340,2740,36970.19708
218733,South Carolina State University,113860485,2374,47961.45114
160621,Southern University and A & M College,218861416,6470,33827.11221
160630,Southern University at New Orleans,50885125,1680,30288.76488
221838,Tennessee State University,259124264,7678,33748.92732
229063,Texas Southern University,276275143,6830,40450.24056
106412,University of Arkansas at Pine Bluff,91240326,2182,41814.99817
163338,University of Maryland Eastern Shore,157462285,1933,81460.05432
131399,University of the District of Columbia,183882623,3057,60151.33235
234155,Virginia State University,205407391,4300,47769.1607
237899,West Virginia State University,54635035,3634,15034.40699
199999,Winston-Salem State University,197103617,4513,43674.63262
